,Date,Low,High,Close,Open
3640,2019-10-17,1244.1148,1268.4594,1265.8752,1249.4188
3639,2019-10-16,1236.2718,1251.1416,1244.6134,1240.624
3638,2019-10-15,1219.498,1242.1654,1236.0906,1236.2718
3637,2019-10-14,1224.9382,1236.3626,1230.9678,1236.3626
3636,2019-10-11,1212.2446,1238.5386,1226.2076,1237.6318
3635,2019-10-10,1199.143,1240.352,1235.2744,1204.0844
3634,2019-10-09,1172.4862,1205.8978,1202.0444,1189.4866
3633,2019-10-07,1180.1024,1196.8308,1187.5826,1187.764
3632,2019-10-04,1182.3692,1204.5378,1185.4518,1194.2014
3631,2019-10-03,1161.6512,1191.4814,1188.6706,1169.6754
3630,2019-10-01,1173.0756,1217.2314,1183.2758,1210.4312
3629,2019-09-30,1183.9558,1211.3378,1208.2552,1187.764
3628,2019-09-27,1164.19,1192.2068,1186.6306,1173.0756
3627,2019-09-26,1163.6914,1177.5184,1175.6142,1169.6302
3626,2019-09-25,1150.907,1174.5716,1160.382,1161.47
3625,2019-09-24,1126.1544,1177.3824,1159.2486,1127.0158
3624,2019-09-23,1118.1302,1161.334,1123.0716,1158.7498
3623,2019-09-20,1064.9982,1151.043,1137.352,1075.8784
3622,2019-09-19,1063.774,1096.5056,1068.7156,1094.3748
3621,2019-09-18,1085.852,1102.6258,1093.1962,1092.4254
3620,2019-09-17,1082.3158,1101.447,1085.4894,1101.447
3619,2019-09-16,1077.6012,1104.4844,1097.8202,1079.8678
3618,2019-09-13,1094.4202,1113.642,1111.194,1101.3564
3617,2019-09-12,1093.7856,1123.933,1097.4122,1122.4822
3616,2019-09-11,1108.61,1124.2504,1118.9462,1108.61
3615,2019-09-09,1099.9964,1117.7222,1108.0658,1107.9752
3614,2019-09-06,1084.628,1114.322,1108.4286,1092.5614
3613,2019-09-05,1081.8626,1100.495,1086.4866,1095.2816
3612,2019-09-04,1074.881,1092.4708,1089.4334,1088.028
3611,2019-09-03,1088.028,1127.061,1093.3776,1124.2956
3610,2019-08-30,1106.9326,1136.9892,1131.8666,1130.6424
3609,2019-08-29,1120.2156,1142.4294,1126.2904,1140.5708
3608,2019-08-28,1139.5734,1161.0166,1145.1948,1156.9364
3607,2019-08-27,1144.0614,1164.0994,1156.1204,1163.2834
3606,2019-08-26,1142.1574,1173.257,1147.779,1173.257
3605,2019-08-23,1112.3274,1164.0994,1156.8912,1127.0158
3604,2019-08-22,1123.4342,1152.4484,1130.1892,1152.403
3603,2019-08-21,1148.459,1159.1126,1152.2216,1158.2058
3602,2019-08-20,1154.0804,1173.257,1156.9364,1173.257
3601,2019-08-19,1161.062,1175.6596,1171.5342,1161.2886
3600,2019-08-16,1154.3978,1170.5368,1158.2058,1170.1288
3599,2019-08-14,1160.654,1182.3238,1168.0888,1176.8836
3598,2019-08-13,1110.9672,1180.9638,1156.0298,1124.2956
3597,2019-08-09,1045.1416,1065.3608,1053.5738,1050.8538
3596,2019-08-08,993.415,1049.947,1044.4616,1005.5192
3595,2019-08-07,1000.0792,1032.176,1005.5192,1022.565
3594,2019-08-06,1017.2608,1042.6028,1022.7464,1030.7252
3593,2019-08-05,1023.653,1067.6276,1036.3468,1067.6276
3592,2019-08-02,1053.8912,1086.2146,1073.7024,1065.8142
3591,2019-08-01,1042.8748,1077.4198,1070.393,1060.646
3590,2019-07-31,1054.4806,1074.2916,1057.2006,1068.0356
3589,2019-07-30,1066.0862,1106.0712,1070.393,1098.2284
3588,2019-07-29,1092.6522,1107.5218,1098.1376,1105.6178
3587,2019-07-26,1097.1402,1126.109,1100.8124,1118.3568
3586,2019-07-25,1112.6446,1150.4084,1117.3142,1149.6376
3585,2019-07-24,1137.352,1159.7018,1141.3414,1155.123
3584,2019-07-23,1143.6082,1173.257,1154.0804,1165.7314
3583,2019-07-22,1113.0526,1164.6886,1161.0166,1139.664
3582,2019-07-19,1127.0158,1152.403,1132.4558,1149.9096
3581,2019-07-18,1140.616,1166.1848,1144.0614,1162.286
3580,2019-07-17,1160.5632,1175.7956,1161.9686,1175.7956
3579,2019-07-16,1150.6804,1174.1636,1172.4408,1159.6566
3578,2019-07-15,1152.403,1168.7234,1156.8458,1165.0966
3577,2019-07-12,1158.7498,1178.5158,1161.1072,1164.8246
3576,2019-07-11,1160.2006,1169.4034,1161.742,1164.2354
3575,2019-07-10,1150.5896,1168.4514,1159.0672,1161.6512
3574,2019-07-09,1128.9198,1164.054,1160.0646,1133.6346
3573,2019-07-08,1131.5944,1149.411,1135.0852,1143.3362
3572,2019-07-05,1141.9308,1169.8114,1144.7868,1166.9554
3571,2019-07-04,1161.2432,1170.7636,1163.2834,1162.3766
3570,2019-07-03,1156.9364,1166.366,1162.6032,1161.9686
3569,2019-07-02,1145.7388,1161.47,1158.7952,1156.0752
3568,2019-07-01,1130.6424,1153.3098,1150.1364,1139.7094
3567,2019-06-28,1131.5944,1163.102,1135.176,1159.6566
3566,2019-06-27,1152.4936,1175.6596,1155.8938,1173.7556
